Foto	Ref.	Dirección	Planta	m²	Nºhab.	Garaje	Precio	Fecha oferta	
	41131	CALLE DOCTOR RAMON CASTROVIEJO, 53	1	73	3	si	1100,00 €	26/09/2011	
	59918	CALLE DONATO BAÑARES, 3	1	36	2	-	550,00 €	28/11/2013	
	5845	CALLE ESTELLA, 9	3	57,55	2	-	687,00 €	09/09/2013	
	61553	CALLE FERMIN CABALLERO, 19	9	103	4	si	1000,00 €	12/05/2014	
	60766	CALLE FERMIN CABALLERO, 21	2	103	3	-	1000,00 €	19/02/2014	
	424	CALLE FERMIN CABALLERO, 22	3	108	4	-	850,00 €	05/05/2014	
	48385	CALLE FERMIN CABALLERO, 25	6	111,95	4	-	900,00 €	11/05/2012	
	62466	CALLE FERMÍN CABALLERO, 26	4	86	3	si	1000,00 €	11/09/2014	
	61673	CALLE FERMIN CABALLERO, 28	8	32,35	1	-	575,00 €	26/05/2014	
	9764	CALLE FERMIN CABALLERO, 3	1	94,06	3	-	950,00 €	30/09/2014	
	46262	CALLE FERMIN CABALLERO, 50	8	90	3	-	1100,00 €	27/08/2015	
	49445	CALLE FERMIN CABALLERO, 50	3	91	3	-	1000,00 €	04/06/2013	
	49833	CALLE FERMIN CABALLERO, 63	7	65,52	3	si	1000,00 €	05/07/2012	
	56713	CALLE FERMIN CABALLERO, 69	8	88	4	-	1000,00 €	07/05/2013	
	57384	CALLE FERMIN CABALLERO, 85	1	73,5	3	-	850,00 €	10/06/2013	
	56314	CALLE FERMIN CABALLERO, 87	8	56	2	si	660,00 €	16/04/2013	
	27022	CALLE FINISTERRE, 17	1	63,33	2	-	650,00 €	03/02/2014	
	52664	CALLE FINISTERRE, 38	13	99	4	-	950,00 €	02/11/2012	
	57893	CALLE FRANCISCO DEL POZO, 5	1	26	0	-	480,00 €	10/07/2013	
	57162	CALLE GINZO DE LIMA, 23	4	43,02	2	-	650,00 €	28/05/2013	
	7642	CALLE GINZO DE LIMIA, 21	11	47,8	2	-	725,00 €	03/09/2014	
	50571	CALLE GINZO DE LIMIA, 23	3	54,44	3	-	800,00 €	06/08/2012	
	18659	CALLE GINZO DE LIMIA, 23	10	60,49	3	-	750,00 €	09/05/2014	
	45420	CALLE GINZO DE LIMIA, 29	4	52	2	-	675,00 €	06/02/2012	
	45015	CALLE GINZO DE LIMIA, 4	2	96,83	3	-	950,00 €	25/01/2012	
	35027	CALLE GINZO DE LIMIA, 42	3	47	2	-	750,00 €	17/08/2015	
	62446	CALLE GINZO DE LIMIA, 9	4	62,29	1	-	685,00 €	09/09/2014	
	54272	CALLE GONZALEZ SOLA, 8	1º	39,37	1	si	600,00 €	14/01/2013	
	47646	CALLE GRAÑON, 12	2	40,09	1	si	650,00 €	16/04/2012	
	5029	CALLE GRAÑON, 14	4	38,09	1	-	800,00 €	27/03/2014	
	57738	CALLE GRAÑON, 8	1	54	1	si	750,00 €	01/07/2013	
	37840	CALLE HIRUELA, 1	3	50	1	-	600,00 €	27/11/2012	
	44084	CALLE HIRUELA, 5	8	36,32	1	si	700,00 €	26/12/2011	
	57031	CALLE HOSPITAL DE ÓRBIGO, 1	2	58	2	si	950,00 €	20/05/2013	
	9205	CALLE ISABEL COLBRAND, 16	1	86,82	2	si	980,00 €	30/09/2013	
	9203	CALLE ISABEL COLBRAND, 16	1	63,3	2	si	950,00 €	09/12/2014	
